"1","Wichita St.","33","25-8","1946","59.0"
"2","Little Rock","33","29-4","1968","59.6"
"3","Virginia","33","26-7","1969","59.7"
"4","San Diego St.","34","25-9","2049","60.3"
"5","Saint Mary's (CA)","33","28-5","2007","60.8"
"6","Louisville","31","23-8","1895","61.1"
"7","Old Dominion","35","22-13","2164","61.8"
"8","Col. of Charleston","31","17-14","1921","62.0"
"9","Valparaiso","33","27-6","2064","62.5"
"10","Cincinnati","32","22-10","2012","62.9"
"11","UNI","34","22-12","2139","62.9"
"12","New Mexico St.","34","23-11","2145","63.1"
"","UConn","34","24-10","2145","63.1"
"14","Yale","28","22-6","1768","63.1"
"15","SFA","32","27-5","2021","63.2"
"16","CSU Bakersfield","32","24-8","2022","63.2"
"17","Michigan St.","34","29-5","2155","63.4"
"18","SMU","30","25-5","1903","63.4"
"19","Stony Brook","32","26-6","2030","63.4"
"20","Villanova","34","29-5","2166","63.7"
"21","Wagner","32","22-10","2047","64.0"
"22","Texas St.","31","15-16","1993","64.3"
"23","North Dakota St.","32","20-12","2062","64.4"
"24","Clemson","31","17-14","1999","64.5"
"25","Wisconsin","32","20-12","2066","64.6"
"26","Purdue","34","26-8","2196","64.6"
"27","Navy","33","19-14","2135","64.7"
"28","Rhode Island","32","17-15","2072","64.8"
"29","Georgia St.","30","16-14","1950","65.0"
"30","Loyola Chicago","32","15-17","2082","65.1"
"31","Albany (NY)","32","24-8","2086","65.2"
"32","Denver","31","16-15","2024","65.3"
"33","Evansville","34","25-9","2221","65.3"
"34","Jackson St.","35","20-15","2290","65.4"
"35","Texas A&M","34","26-8","2228","65.5"
"36","American","31","12-19","2036","65.7"
"37","Syracuse","32","19-13","2103","65.7"
"38","Wright St.","35","22-13","2303","65.8"
"39","Dayton","32","25-7","2106","65.8"
"40","UC Irvine","34","25-9","2240","65.9"
"41","Northwestern","32","20-12","2111","66.0"
"42","UC Davis","30","11-19","1980","66.0"
"43","Illinois St.","32","18-14","2114","66.1"
"44","Idaho","33","21-12","2183","66.2"
"45","Harvard","30","14-16","1985","66.2"
"46","Saint Peter's","30","14-16","1987","66.2"
"47","Gonzaga","33","26-7","2186","66.2"
"48","Furman","34","19-15","2253","66.3"
"49","Maryland","33","25-8","2187","66.3"
"50","Ball St.","33","20-13","2189","66.3"
"51","Hawaii","32","27-5","2128","66.5"
"52","St. Francis Brooklyn","32","15-17","2131","66.6"
"53","West Virginia","34","26-8","2265","66.6"
"","Chattanooga","34","29-5","2265","66.6"
"55","Towson","32","20-12","2137","66.8"
"56","Seattle U","30","14-16","2004","66.8"
"57","Miami (FL)","32","25-7","2138","66.8"
"58","Weber St.","34","26-8","2273","66.9"
"59","Coastal Caro.","30","19-11","2010","67.0"
"60","California","33","23-10","2212","67.0"
"61","Montana","32","21-11","2146","67.1"
"62","Northern Ill.","33","21-12","2215","67.1"
"63","Oklahoma St.","32","12-20","2148","67.1"
"64","VCU","34","24-10","2288","67.3"
"65","Rider","33","13-20","2223","67.4"
"66","Vanderbilt","33","19-14","2225","67.4"
"67","Grambling","30","7-23","2023","67.4"
"68","Temple","32","21-11","2158","67.4"
"69","Michigan","34","22-12","2294","67.5"
"70","Savannah St.","31","16-15","2092","67.5"
"","UC Santa Barbara","31","18-13","2092","67.5"
"72","UNC Asheville","33","22-11","2227","67.5"
"73","Murray St.","31","17-14","2093","67.5"
"74","Morehead St.","32","20-12","2164","67.6"
"75","Kansas","34","30-4","2303","67.7"
"76","Cleveland St.","32","9-23","2169","67.8"
"77","Seton Hall","33","25-8","2237","67.8"
"78","Ohio St.","34","21-13","2307","67.9"
"79","Pittsburgh","32","21-11","2173","67.9"
"80","Alabama","33","18-15","2242","67.9"
"81","Princeton","28","22-6","1903","68.0"
"82","Akron","35","26-9","2381","68.0"
"83","Texas","32","20-12","2178","68.1"
"","South Dakota St.","32","25-7","2178","68.1"
"85","Miami (OH)","33","13-20","2249","68.2"
"86","Kansas St.","33","17-16","2251","68.2"
"87","Kentucky","34","26-8","2321","68.3"
"88","Middle Tenn.","33","24-9","2254","68.3"
"89","Liberty","32","13-19","2188","68.4"
"90","Florida","34","20-14","2331","68.6"
"91","Binghamton","30","8-22","2059","68.6"
"","Fordham","30","17-13","2059","68.6"
"93","James Madison","32","21-11","2197","68.7"
"94","Iowa","31","21-10","2130","68.7"
"95","George Washington","33","23-10","2268","68.7"
"96","Mercer","34","19-15","2339","68.8"
"97","Tennessee St.","31","20-11","2134","68.8"
"98","Houston","31","22-9","2135","68.9"
"99","Indiana","32","25-7","2205","68.9"
"100","South Carolina","33","25-8","2274","68.9"
"101","Nebraska","34","16-18","2345","69.0"
"102","Georgia","32","19-13","2208","69.0"
"","Arizona","33","25-8","2277","69.0"
"104","Southern U.","34","22-12","2347","69.0"
"105","Lehigh","32","17-15","2210","69.1"
"106","Oregon","34","28-6","2350","69.1"
"107","A&M-Corpus Christi","32","25-7","2212","69.1"
