"1","Villanova","34","31-3","483","14.2","3"
"2","SMU","34","30-4","490","14.4","5"
"3","Saint Mary's (CA)","32","28-4","472","14.8","7"
"4","Western Ky.","32","15-17","475","14.8","3"
"5","Notre Dame","34","25-9","505","14.9","4"
"6","Michigan","35","24-11","529","15.1","10"
"7","Clemson","33","17-16","501","15.2","13"
"8","UNI","30","14-16","464","15.5","8"
"9","George Washington","33","19-14","512","15.5","4"
"10","UCF","32","21-11","497","15.5","9"
"11","Miami (FL)","32","21-11","498","15.6","7"
"12","Yale","29","18-11","454","15.7","6"
"13","Louisiana Tech","33","23-10","519","15.7","5"
"14","Wisconsin","34","25-9","535","15.7","5"
"15","Purdue","32","25-7","504","15.8","9"
"16","New Hampshire","32","20-12","506","15.8","11"
"17","Vermont","34","29-5","539","15.9","9"
"18","Southern California","33","24-9","525","15.9","12"
"19","Iowa St.","33","23-10","527","16.0","8"
"20","Cincinnati","34","29-5","543","16.0","3"
"21","UAB","33","17-16","528","16.0","8"
"22","Oregon","34","29-5","545","16.0","8"
"23","Syracuse","32","18-14","514","16.1","2"
"24","Holy Cross","32","15-17","516","16.1","11"
"25","Princeton","29","23-6","468","16.1","6"
"26","Saint Francis (PA)","33","17-16","533","16.2","6"
"27","Saint Peter's","32","19-13","517","16.2","5"
"28","Washington St.","31","13-18","502","16.2","4"
"29","Virginia","32","22-10","520","16.3","9"
"30","Georgia Tech","33","18-15","539","16.3","5"
"31","Virginia Tech","32","22-10","525","16.4","7"
"32","Gonzaga","33","32-1","543","16.5","12"
"","UCLA","33","29-4","543","16.5","11"
"34","Texas A&M","31","16-15","511","16.5","8"
"35","Creighton","34","25-9","563","16.6","6"
"36","UNC Asheville","32","23-9","531","16.6","12"
"37","Vanderbilt","34","19-15","565","16.6","10"
"38","Elon","32","18-14","532","16.6","4"
"39","Youngstown St.","34","13-21","567","16.7","15"
"","South Dakota St.","34","18-16","567","16.7","11"
"","Nevada","34","28-6","567","16.7","10"
"42","Memphis","32","19-13","534","16.7","6"
"43","East Carolina","33","15-18","551","16.7","6"
"","Pittsburgh","33","16-17","551","16.7","8"
"45","North Dakota St.","30","19-11","501","16.7","6"
"46","USC Upstate","32","17-15","537","16.8","14"
"47","George Mason","33","20-13","555","16.8","7"
"48","Northeastern","31","15-16","522","16.8","8"
"49","Utah","32","20-12","539","16.8","12"
"","Lehigh","32","20-12","539","16.8","12"
"","UNLV","32","11-21","539","16.8","10"
"52","Minnesota","33","24-9","557","16.9","16"
"53","Arizona St.","33","15-18","558","16.9","16"
"54","Arizona","34","30-4","577","17.0","7"
"55","Southern Miss.","31","9-22","527","17.0","18"
"56","Binghamton","32","12-20","545","17.0","7"
"","Loyola Chicago","32","18-14","545","17.0","10"
"","Hofstra","32","15-17","545","17.0","11"
"59","Toledo","33","17-16","564","17.1","17"
"60","Mercer","32","15-17","547","17.1","9"
"61","Providence","32","20-12","548","17.1","8"
"62","Pepperdine","31","9-22","531","17.1","11"
